trip_count ,dim_station                                                                                         ,dim_year,dim_user                                          
-----------,----------------------------------------------------------------------------------------------------,--------,--------------------------------------------------
      29291,York St / Queens Quay W                                                                             ,    2019,all                                               
      22487,Bay St / Queens Quay W (Ferry Terminal)                                                             ,    2019,all                                               
      22113,Bathurst St/Queens Quay(Billy Bishop Airport)                                                       ,    2019,all                                               
      19424,Union Station                                                                                       ,    2019,all                                               
      19179,Sherbourne St / Wellesley St E                                                                      ,    2019,all                                               
      18687,Bay St / College St (East Side)                                                                     ,    2019,all                                               
      17177,Ontario Place Blvd / Lake Shore Blvd W (East)                                                       ,    2019,all                                               
      16959,Front St W / Blue Jays Way                                                                          ,    2019,all                                               
      16942,Simcoe St / Queen St W                                                                              ,    2019,all                                               
      16884,Queen St W / Portland St                                                                            ,    2019,all                                               
      30936,Queens Quay E / Lower Sherbourne St                                                                 ,    2020,all                                               
      30454,Lake Shore Blvd W / Ontario Dr                                                                      ,    2020,all                                               
      26560,Marilyn Bell Park Tennis Court                                                                      ,    2020,all                                               
      26127,HTO Park (Queens Quay W)                                                                            ,    2020,all                                               
      25724,York St / Queens Quay W                                                                             ,    2020,all                                               
      25674,Ontario Place Blvd / Lake Shore Blvd W (East)                                                       ,    2020,all                                               
      22537,Bay St / Queens Quay W (Ferry Terminal)                                                             ,    2020,all                                               
      21020,Cherry Beach                                                                                        ,    2020,all                                               
      20754,Humber Bay Shores Park West                                                                         ,    2020,all                                               
      20225,Bathurst St/Queens Quay(Billy Bishop Airport)                                                       ,    2020,all                                               
      16935,Queens Quay E / Lower Sherbourne St                                                                 ,    2020,Annual Member                                     
      14156,Dundas St E / Regent Park Blvd                                                                      ,    2020,Annual Member                                     
      12533,York St / Queens Quay W                                                                             ,    2020,Annual Member                                     
      12401,Queen St W / Portland St                                                                            ,    2020,Annual Member                                     
      11600,Bay St / College St (East Side)                                                                     ,    2020,Annual Member                                     
      11562,Sherbourne St / Wellesley St E                                                                      ,    2020,Annual Member                                     
      11059,Widmer St / Adelaide St W                                                                           ,    2020,Annual Member                                     
      10692,Lake Shore Blvd W / Ontario Dr                                                                      ,    2020,Annual Member                                     
      10286,Jarvis St / Dundas St E                                                                             ,    2020,Annual Member                                     
      10113,Fort York  Blvd / Capreol Ct                                                                        ,    2020,Annual Member                                     
      19762,Lake Shore Blvd W / Ontario Dr                                                                      ,    2020,Casual Member                                     
      16927,Marilyn Bell Park Tennis Court                                                                      ,    2020,Casual Member                                     
      16016,HTO Park (Queens Quay W)                                                                            ,    2020,Casual Member                                     
      15901,Ontario Place Blvd / Lake Shore Blvd W (East)                                                       ,    2020,Casual Member                                     
      15380,Humber Bay Shores Park West                                                                         ,    2020,Casual Member                                     
      14001,Queens Quay E / Lower Sherbourne St                                                                 ,    2020,Casual Member                                     
      13364,Humber Bay Shores Park East                                                                         ,    2020,Casual Member                                     
      13191,York St / Queens Quay W                                                                             ,    2020,Casual Member                                     
      12972,Bay St / Queens Quay W (Ferry Terminal)                                                             ,    2020,Casual Member                                     
      12441,Cherry Beach                                                                                        ,    2020,Casual Member                                     
      15912,York St / Queens Quay W                                                                             ,    2021,Annual Member                                     
      15110,Dundas St E / Regent Park Blvd                                                                      ,    2021,Annual Member                                     
      14022,Queens Quay E / Lower Sherbourne St                                                                 ,    2021,Annual Member                                     
      13952,Jarvis St / Dundas St E                                                                             ,    2021,Annual Member                                     
      13505,Bay St / Wellesley St W                                                                             ,    2021,Annual Member                                     
      13053,Queen St W / Portland St                                                                            ,    2021,Annual Member                                     
      12884,Bay St / College St (East Side)                                                                     ,    2021,Annual Member                                     
      12543,Fort York  Blvd / Capreol Ct                                                                        ,    2021,Annual Member                                     
      11933,College St / Major St                                                                               ,    2021,Annual Member                                     
      11739,Sherbourne St / Wellesley St E                                                                      ,    2021,Annual Member                                     
      30188,York St / Queens Quay W                                                                             ,    2022,Casual Member                                     
      22963,Bay St / Queens Quay W (Ferry Terminal)                                                             ,    2022,Casual Member                                     
      21431,Lake Shore Blvd W / Ontario Dr                                                                      ,    2022,Casual Member                                     
      21260,HTO Park (Queens Quay W)                                                                            ,    2022,Casual Member                                     
      18767,Ontario Place Blvd / Lake Shore Blvd W (East)                                                       ,    2022,Casual Member                                     
      18144,Bay St / College St (East Side)                                                                     ,    2022,Casual Member                                     
      17986,Queens Quay / Yonge St                                                                              ,    2022,Casual Member                                     
      17766,Marilyn Bell Park Tennis Court                                                                      ,    2022,Casual Member                                     
      16596,Bathurst St/Queens Quay(Billy Bishop Airport)                                                       ,    2022,Casual Member                                     
      16541,Dundas St W / Yonge St                                                                              ,    2022,Casual Member                                     
      35799,York St / Queens Quay W                                                                             ,    2021,all                                               
      27946,Ontario Place Blvd / Lake Shore Blvd W (East)                                                       ,    2021,all                                               
      27231,Bay St / Queens Quay W (Ferry Terminal)                                                             ,    2021,all                                               
      26676,Lake Shore Blvd W / Ontario Dr                                                                      ,    2021,all                                               
      26614,Queens Quay E / Lower Sherbourne St                                                                 ,    2021,all                                               
      26123,HTO Park (Queens Quay W)                                                                            ,    2021,all                                               
      25726,Bathurst St/Queens Quay(Billy Bishop Airport)                                                       ,    2021,all                                               
      22678,Marilyn Bell Park Tennis Court                                                                      ,    2021,all                                               
      22223,Queens Quay / Yonge St                                                                              ,    2021,all                                               
      21050,Dundas St E / Regent Park Blvd                                                                      ,    2021,all                                               
      40380,York St / Queens Quay W                                                                             ,    2022,all                                               
      32420,Bay St / College St (East Side)                                                                     ,    2022,all                                               
      29676,Bay St / Queens Quay W (Ferry Terminal)                                                             ,    2022,all                                               
      26470,HTO Park (Queens Quay W)                                                                            ,    2022,all                                               
      26147,Bay St / Wellesley St W                                                                             ,    2022,all                                               
      26088,King St W / Brant St                                                                                ,    2022,all                                               
      25930,Lake Shore Blvd W / Ontario Dr                                                                      ,    2022,all                                               
      25837,College St / Major St                                                                               ,    2022,all                                               
      25792,Dundas St W / Yonge St                                                                              ,    2022,all                                               
      25174,Queens Quay E / Lower Sherbourne St                                                                 ,    2022,all                                               
      17778,Sherbourne St / Wellesley St E                                                                      ,    2019,Annual Member                                     
      16517,Bay St / College St (East Side)                                                                     ,    2019,Annual Member                                     
      15863,Union Station                                                                                       ,    2019,Annual Member                                     
      15753,York St / Queens Quay W                                                                             ,    2019,Annual Member                                     
      15159,Dundas St E / Regent Park Blvd                                                                      ,    2019,Annual Member                                     
      14253,Princess St / Adelaide St E                                                                         ,    2019,Annual Member                                     
      13994,Front St W / Blue Jays Way                                                                          ,    2019,Annual Member                                     
      13959,Queen St W / Portland St                                                                            ,    2019,Annual Member                                     
      13802,Bay St / Wellesley St W                                                                             ,    2019,Annual Member                                     
      13499,Widmer St / Adelaide St W                                                                           ,    2019,Annual Member                                     
      13538,York St / Queens Quay W                                                                             ,    2019,Casual Member                                     
      12660,Ontario Place Blvd / Lake Shore Blvd W (East)                                                       ,    2019,Casual Member                                     
      11911,Lake Shore Blvd W / Ontario Dr                                                                      ,    2019,Casual Member                                     
      11875,Bay St / Queens Quay W (Ferry Terminal)                                                             ,    2019,Casual Member                                     
      11430,HTO Park (Queens Quay W)                                                                            ,    2019,Casual Member                                     
      10544,Bathurst St/Queens Quay(Billy Bishop Airport)                                                       ,    2019,Casual Member                                     
       8127,Sunnyside - Gus Ryder Pool                                                                          ,    2019,Casual Member                                     
       7703,Bremner Blvd / Rees St                                                                              ,    2019,Casual Member                                     
       7672,Queens Quay W / Lower Simcoe St                                                                     ,    2019,Casual Member                                     
       7527,Queens Quay / Yonge St                                                                              ,    2019,Casual Member                                     
      19887,York St / Queens Quay W                                                                             ,    2021,Casual Member                                     
      17206,Ontario Place Blvd / Lake Shore Blvd W (East)                                                       ,    2021,Casual Member                                     
      17137,Lake Shore Blvd W / Ontario Dr                                                                      ,    2021,Casual Member                                     
      16403,HTO Park (Queens Quay W)                                                                            ,    2021,Casual Member                                     
      15983,Bay St / Queens Quay W (Ferry Terminal)                                                             ,    2021,Casual Member                                     
      14964,Bathurst St/Queens Quay(Billy Bishop Airport)                                                       ,    2021,Casual Member                                     
      13877,Marilyn Bell Park Tennis Court                                                                      ,    2021,Casual Member                                     
      13143,Tommy Thompson Park (Leslie Street Spit)                                                            ,    2021,Casual Member                                     
      12771,Humber Bay Shores Park / Marine Parade Dr                                                           ,    2021,Casual Member                                     
      12592,Queens Quay E / Lower Sherbourne St                                                                 ,    2021,Casual Member                                     
      14276,Bay St / College St (East Side)                                                                     ,    2022,Annual Member                                     
      12252,Bay St / Wellesley St W                                                                             ,    2022,Annual Member                                     
      11606,Dundas St E / Regent Park Blvd                                                                      ,    2022,Annual Member                                     
      10555,College Park - Yonge St Entrance                                                                    ,    2022,Annual Member                                     
      10553,King St W / Brant St                                                                                ,    2022,Annual Member                                     
      10193,College St / Major St                                                                               ,    2022,Annual Member                                     
      10192,York St / Queens Quay W                                                                             ,    2022,Annual Member                                     
      10072,College St / Huron St                                                                               ,    2022,Annual Member                                     
       9959,Jarvis St / Dundas St E                                                                             ,    2022,Annual Member                                     
       9838,Church St  / Wood St                                                                                ,    2022,Annual Member                                     
